Species "Standard Length" "Body Depth" "Max. Body Depth Position" "Body Width" "Eye Width" "Head Height" "Head Length" "Buccal Length" "Buccal Width" "Ascending Process Length" "Open Ratio" "Close Ratio" "AM Mass" "Raker Length" "Suction Index" "Habitat"
Haemulopsis_leuciscus	217.00	67.73	77.07	29.13	15.07	14.80	65.20	47.17	22.33	17.20	0.24	0.34	1.30	4.20	0.08	non-reef
Haemulopsis_nitidus	143.00	52.70	53.50	22.40	11.80	13.00	43.30	33.30	14.00	9.00	0.27	0.35	0.35	2.60	0.15	non-reef
Haemulon_vittatum	162.67	36.70	60.77	23.93	11.33	9.33	40.83	30.40	7.60	22.50	0.16	0.22	0.37	5.13	0.18	reef
Isacia_conceptionis	182.67	56.83	66.07	24.40	12.00	11.70	50.60	38.17	11.80	10.67	0.27	0.32	0.39	6.00	0.12	reef
Microlepidotus_inornatus	243.50	70.45	90.90	35.25	15.80	14.05	67.65	49.55	20.85	16.90	0.28	0.40	1.04	5.65	0.08	reef
Microlepidotus_brevipinnis	192.00	76.43	69.70	23.47	15.40	30.17	52.80	37.13	10.73	12.73	0.23	0.29	0.43	4.70	0.78	reef
Orthopristis_chalceus	191.67	71.63	67.17	22.67	14.97	18.20	56.20	41.83	11.77	18.37	0.23	0.32	0.52	3.40	0.22	non-reef
Orthopristis_reddingi	196.33	66.93	79.20	25.33	14.37	17.83	55.90	42.07	14.03	18.73	0.26	0.26	0.83	3.20	0.20	non-reef
Orthopristis_ruber	209.00	77.10	70.65	27.40	15.55	20.40	58.15	50.10	16.45	21.90	0.28	0.33	1.20	3.55	0.21	non-reef
Orthopristis_chrysoptera	209.33	75.07	73.60	24.50	12.43	18.23	60.97	47.90	17.43	20.80	0.30	0.38	1.26	3.03	0.13	non-reef
Pomadasys_branickii	185.50	63.60	70.20	29.95	16.80	15.90	59.90	43.25	23.70	17.75	0.33	0.32	0.98	3.55	0.10	non-reef
Pomadasys_corvinaeformis	144.50	50.05	54.45	24.05	11.40	11.65	46.45	34.40	15.90	12.25	0.32	0.31	0.37	3.60	0.10	non-reef
Pomadasys_crocro	207.00	58.50	77.00	27.10	15.30	12.60	60.40	46.60	20.80	14.90	0.23	0.23	0.92	5.20	0.06	non-reef
Pomadasys_macracanthus	213.00	75.23	92.70	28.87	15.90	23.10	71.40	53.27	17.00	19.87	0.28	0.25	1.88	4.80	0.19	non-reef
Pomadasys_panamensis	188.33	67.97	68.70	28.33	15.83	16.43	59.47	44.40	18.40	13.43	0.30	0.34	1.16	6.47	0.13	non-reef
Xenichthys_xantii	164.00	54.73	72.67	25.47	18.70	12.07	50.40	41.43	11.27	11.60	0.17	0.26	0.26	7.47	0.14	non-reef
Xenistius_californiensis	134.33	40.83	48.23	20.00	13.27	8.57	39.37	28.23	11.27	9.03	0.15	0.25	0.13	6.00	0.09	reef
